Well,Fluor,Target,Content,Sample,Cq
C11,FAM,PfVarATS,Unkn,8,34.45051678
D04,FAM,PfVarATS,Unkn,19,31.3136188
E04,FAM,PfVarATS,Unkn,52,30.1659966
G06,FAM,PfVarATS,Unkn,204,29.14778801
G07,FAM,PfVarATS,Unkn,205,30.73209331
A05,FAM,PfVarATS,Unkn,252,31.88429384
C08,FAM,PfVarATS,Unkn,483,23.99362085
C10,FAM,PfVarATS,Unkn,485,31.70202019
D01,FAM,PfVarATS,Unkn,488,31.57234701
D06,FAM,PfVarATS,Unkn,500,31.07919499
D12,FAM,PfVarATS,Unkn,506,26.82307847
E01,FAM,PfVarATS,Unkn,507,28.56189228
E05,FAM,PfVarATS,Unkn,517,33.36513702
H03,FAM,PfVarATS,Unkn,783,27.0267075
B10,FAM,PfVarATS,Unkn,812,23.85049845
D07,FAM,PfVarATS,Unkn,835,25.03836132
G08,FAM,PfVarATS,Unkn,910,31.90147188
G09,FAM,PfVarATS,Unkn,911,33.5790213
A03,FAM,PfVarATS,Unkn,966,31.15083026
E07,FAM,PfVarATS,Unkn,980,28.28738814
E09,FAM,PfVarATS,Unkn,982,27.2070413
B01,FAM,PfVarATS,Unkn,1057,27.53334077
A05,FAM,PfVarATS,Unkn,1301,32.46478503
A12,FAM,PfVarATS,Unkn,1308,33.71773415
B05,FAM,PfVarATS,Unkn,1313,35.67096482
D07,FAM,PfVarATS,Unkn,1369,34.76832143
G11,FAM,PfVarATS,Unkn,1418,33.85422213
H02,FAM,PfVarATS,Unkn,1421,35.620435
G10,FAM,PfVarATS,Unkn,1671,28.31537543
H05,FAM,PfVarATS,Unkn,1678,26.35289783
H08,FAM,PfVarATS,Unkn,1681,29.93114922
H09,FAM,PfVarATS,Unkn,1682,33.67978613
A01,FAM,PfVarATS,Unkn,1684,26.97224186
A08,FAM,PfVarATS,Unkn,1721,33.84246873
B04,FAM,PfVarATS,Unkn,1750,27.16989644
D05,FAM,PfVarATS,Unkn,1775,31.15088885
F01,FAM,PfVarATS,Unkn,1826,35.82566038
F06,FAM,PfVarATS,Unkn,1831,31.57577619
F11,FAM,PfVarATS,Unkn,1836,34.90649335
G03,FAM,PfVarATS,Unkn,1840,30.49061037
G04,FAM,PfVarATS,Unkn,1841,29.8242555
A02,FAM,PfVarATS,Unkn,1861,30.08830549
D12,FAM,PfVarATS,Unkn,1904,33.41342732
E11,FAM,PfVarATS,Unkn,1915,32.24981528
G08,FAM,PfVarATS,Unkn,1936,32.08251635
B06,FAM,PfVarATS,Unkn,1995,29.92550491
A12,FAM,PfVarATS,Unkn,2027,33.60054075
B09,FAM,PfVarATS,Unkn,2036,27.31335686
E10,FAM,PfVarATS,Unkn,2073,28.98502445
F06,FAM,PfVarATS,Unkn,2081,32.73523726
F09,FAM,PfVarATS,Unkn,2084,34.2387888
G08,FAM,PfVarATS,Unkn,2095,31.53213612
H01,FAM,PfVarATS,Unkn,2100,29.23404484
H02,FAM,PfVarATS,Unkn,2101,28.19645447
A06,FAM,PfVarATS,Unkn,2115,27.96921428
A07,FAM,PfVarATS,Unkn,2116,32.3333341
C09,FAM,PfVarATS,Unkn,2368,35.5802174
B06,FAM,PfVarATS,Unkn,2452,28.59537557
D07,FAM,PfVarATS,Unkn,2644,28.27264259
B04,FAM,PfVarATS,Unkn,2681,28.42903696
C06,FAM,PfVarATS,Unkn,2788,35.49714951
C08,FAM,PfVarATS,Unkn,2790,28.36867414
C09,FAM,PfVarATS,Unkn,2791,28.65570808
C10,FAM,PfVarATS,Unkn,2792,28.14181984
B04,FAM,PfVarATS,Unkn,2850,30.28353707
E01,FAM,PfVarATS,Unkn,2883,27.50020995
G07,FAM,PfVarATS,Unkn,4771,29.12358873
G08,FAM,PfVarATS,Unkn,4772,28.52581487
D10,FAM,PfVarATS,Unkn,4828,31.58684089
D12,FAM,PfVarATS,Unkn,4830,31.08999804
E01,FAM,PfVarATS,Unkn,4831,31.38695749
E04,FAM,PfVarATS,Unkn,4834,31.10540717
E10,FAM,PfVarATS,Unkn,4840,30.32442591
F06,FAM,PfVarATS,Unkn,4848,27.57816459
D11,FAM,PfVarATS,Unkn,4849,34.54441017
D12,FAM,PfVarATS,Unkn,4850,25.45575484
E04,FAM,PfVarATS,Unkn,4853,27.55877982
E05,FAM,PfVarATS,Unkn,4854,25.21222592
F10,FAM,PfVarATS,Unkn,4872,28.08138474
H04,FAM,PfVarATS,Unkn,4890,28.02803608
H06,FAM,PfVarATS,Unkn,4892,24.19388816
B08,FAM,PfVarATS,Unkn,4912,31.17297383
B04,FAM,PfVarATS,Unkn,4951,35.16468079
C08,FAM,PfVarATS,Unkn,4967,26.05010756
C10,FAM,PfVarATS,Unkn,4969,34.22258634
C11,FAM,PfVarATS,Unkn,4970,29.97886121
D04,FAM,PfVarATS,Unkn,4975,33.59536126
D06,FAM,PfVarATS,Unkn,4977,29.26388767
D10,FAM,PfVarATS,Unkn,4981,33.51530127
D11,FAM,PfVarATS,Unkn,4982,34.04810993
D12,FAM,PfVarATS,Unkn,4983,31.10929796
E05,FAM,PfVarATS,Unkn,4988,31.35047037
E06,FAM,PfVarATS,Unkn,4989,30.44200191
E07,FAM,PfVarATS,Unkn,4990,33.73916588
E12,FAM,PfVarATS,Unkn,4995,34.01871955
F05,FAM,PfVarATS,Unkn,5000,31.36717068
F07,FAM,PfVarATS,Unkn,5002,33.77580597
G05,FAM,PfVarATS,Unkn,5012,34.60354313
H02,FAM,PfVarATS,Unkn,5021,35.45217831
H03,FAM,PfVarATS,Unkn,5022,31.21314485
A01,FAM,PfVarATS,Unkn,5026,35.55346747
A06,FAM,PfVarATS,Unkn,5031,32.35042892
A11,FAM,PfVarATS,Unkn,5036,34.62042276
B12,FAM,PfVarATS,Unkn,5059,33.52792837
C03,FAM,PfVarATS,Unkn,5062,34.43648478
B07,FAM,PfVarATS,Unkn,5079,33.07615078
C04,FAM,PfVarATS,Unkn,5136,31.24491533
C08,FAM,PfVarATS,Unkn,5140,27.54122392
D01,FAM,PfVarATS,Unkn,5145,28.31526136
F01,FAM,PfVarATS,Unkn,5204,27.49521189
B08,FAM,PfVarATS,Unkn,5264,26.38335395
G04,FAM,PfVarATS,Unkn,5320,26.07940227
H05,FAM,PfVarATS,Unkn,5333,35.05445464
C02,FAM,PfVarATS,Unkn,5439,24.70281705
D11,FAM,PfVarATS,Unkn,5460,26.15048876
G12,FAM,PfVarATS,Unkn,5496,29.31837595
A11,FAM,PfVarATS,Unkn,5514,21.08227094
D06,FAM,PfVarATS,Unkn,5521,27.10835877
E09,FAM,PfVarATS,Unkn,5536,26.10871349
F04,FAM,PfVarATS,Unkn,5543,28.23792816
G09,FAM,PfVarATS,Unkn,5560,31.81203077
G10,FAM,PfVarATS,Unkn,5561,30.6522359
H06,FAM,PfVarATS,Unkn,5569,32.81368177
E01,FAM,PfVarATS,Unkn,5616,29.40957326
E02,FAM,PfVarATS,Unkn,5617,35.80870747
F02,FAM,PfVarATS,Unkn,5629,32.78481663
F05,FAM,PfVarATS,Unkn,5632,31.86505283
F08,FAM,PfVarATS,Unkn,5635,31.77140583
F12,FAM,PfVarATS,Unkn,5639,25.5495286
G07,FAM,PfVarATS,Unkn,5646,30.21914831
H10,FAM,PfVarATS,Unkn,5661,30.67708571
A03,FAM,PfVarATS,Unkn,5664,29.04374518
A04,FAM,PfVarATS,Unkn,5665,29.91267182
A07,FAM,PfVarATS,Unkn,5668,30.19476275
B06,FAM,PfVarATS,Unkn,5802,32.29240181
B07,FAM,PfVarATS,Unkn,5803,33.20467749
A01,FAM,PfVarATS,Unkn,5808,32.80753347
A03,FAM,PfVarATS,Unkn,1466,35.20702988
C05,FAM,PfVarATS,Unkn,1491,35.37222558
C12,FAM,PfVarATS,Unkn,1530,35.11264696
A10,FAM,PfVarATS,Unkn,1531,33.89734922
E08,FAM,PfVarATS,Unkn,1534,35.05605427
F01,FAM,PfVarATS,Unkn,1545,34.21289627
B11,FAM,PfVarATS,Unkn,1548,33.97903075
E09,FAM,PfVarATS,Unkn,1570,33.15530825
